2
3
2
3
1.0
training session 116 done in 200 steps, espsilon: 0.01
training session 117 done in 200 steps, espsilon: 0.01
training session 118 done in 200 steps, espsilon: 0.01
training session 119 done in 200 steps, espsilon: 0.01
training session 120 done in 200 steps, espsilon: 0.01
training session 121 done in 200 steps, espsilon: 0.01
training session 122 done in 200 steps, espsilon: 0.01
training session 123 done in 200 steps, espsilon: 0.01
training session 124 done in 200 steps, espsilon: 0.01
training session 125 done in 200 steps, espsilon: 0.01
training session 126 done in 200 steps, espsilon: 0.01
training session 127 done in 200 steps, espsilon: 0.01
training session 128 done in 200 steps, espsilon: 0.01
training session 129 done in 200 steps, espsilon: 0.01
training session 130 done in 200 steps, espsilon: 0.01
training session 131 done in 200 steps, espsilon: 0.01
training session 132 done in 200 steps, espsilon: 0.01
training session 133 done in 200 steps, espsilon: 0.01
training session 134 done in 200 steps, espsilon: 0.01
training session 135 done in 200 steps, espsilon: 0.01
training session 136 done in 200 steps, espsilon: 0.01
training session 137 done in 200 steps, espsilon: 0.01
training session 138 done in 200 steps, espsilon: 0.01
training session 139 done in 200 steps, espsilon: 0.01
training session 140 done in 200 steps, espsilon: 0.01
training session 141 done in 200 steps, espsilon: 0.01
training session 142 done in 200 steps, espsilon: 0.01
training session 143 done in 200 steps, espsilon: 0.01
training session 144 done in 200 steps, espsilon: 0.01
training session 145 done in 200 steps, espsilon: 0.01
training session 146 done in 200 steps, espsilon: 0.01
training session 147 done in 200 steps, espsilon: 0.01
training session 148 done in 200 steps, espsilon: 0.01
[0.50168869 0.01451982] 10 True {}
training session 149 done in 190 steps, espsilon: 0.01
training session 150 done in 200 steps, espsilon: 0.01
[0.50829286 0.01804856] 10 True {}
training session 151 done in 133 steps, espsilon: 0.01
[0.51921418 0.0211002 ] 10 True {}
training session 152 done in 178 steps, espsilon: 0.01
training session 153 done in 200 steps, espsilon: 0.01
training session 154 done in 200 steps, espsilon: 0.01
[0.50520557 0.02394847] 10 True {}
training session 155 done in 147 steps, espsilon: 0.01
training session 156 done in 200 steps, espsilon: 0.01
training session 157 done in 200 steps, espsilon: 0.01
[0.5263669  0.03872858] 10 True {}
training session 158 done in 164 steps, espsilon: 0.01
training session 159 done in 200 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 160 done in 172 steps, espsilon: 0.01
[0.52594564 0.04866717] 10 True {}
training session 161 done in 183 steps, espsilon: 0.01
[0.5368578  0.04995707] 10 True {}
training session 162 done in 164 steps, espsilon: 0.01
